Consommation de vin;;;;;;;;;T 7.6.3
;;;;;;;;;
;;;;;;;;;
;Production;Importation;;Exportation 2;Stocks à la fin de l'année 3;;Consommation;;
;indigène 1;;;;;;(y c. vin pour la fabrication du vinaigre 4);;
;;;;;;;;;
 ;;Vin de table;Vin destiné ;;Vin du pays;Vin importé;Total;dont vin du pays;
;;;à la fabrication;;;;;;
;;;du vinaigre;;;;;;
;;;;;;;;;
;hl;hl;hl;hl;hl;hl;hl;hl;%
;;;;;;;;;
;;;;;;;;;
1996/97;1 224 772 ;1 591 144 ;25 553 ;13 537 ;1 332 884 ;962 011 ;2 852 296 ;1 114 715 ;39,1 
Rouge;577 687 ;1 423 325 ;8 093 ;7 612 ;634 107 ;831 585 ;1 992 388 ;493 468 ;24,8 
Blanc;647 085 ;167 819 ;17 460 ;5 925 ;698 777 ;130 426 ;859 908 ;621 247 ;72,2 
;;;;;;;;;
1997/98;982 135 ;1 728 562 ;33 682 ;14 201 ;1 202 448 ;970 937 ;2 851 688 ;1 098 370 ;38,5 
Rouge;458 846 ;1 492 004 ;6 976 ;8 803 ;590 259 ;827 831 ;1 996 625 ;493 891 ;24,7 
Blanc;523 289 ;236 558 ;26 706 ;5 398 ;612 189 ;143 106 ;855 063 ;604 479 ;70,7 
;;;;;;;;;
1998/99;1 101 596 ;1 677 569 ;33 147 ;12 859 ;1 150 434 ;946 292 ;2 876 112 ;1 140 751 ;39,7 
Rouge;514 606 ;1 457 033 ;5 924 ;7 989 ;562 699 ;821 240 ;2 003 725 ;534 177 ;26,7 
Blanc;586 990 ;220 536 ;27 223 ;4 870 ;587 735 ;125 052 ;872 387 ;606 574 ;69,5 
;;;;;;;;;
1999/2000;1 230 734 ;1 680 130 ;33 828 ;13 603 ;1 212 037 ;938 018 ;2 877 760 ;1 155 529 ;40,2 
Rouge;555 801 ;1 451 309 ;7 894 ;8 335 ;561 117 ;807 159 ;2 022 332 ;549 049 ;27,1 
Blanc;674 933 ;228 821 ;25 934 ;5 268 ;650 920 ;130 859 ;855 428 ;606 480 ;70,9 
;;;;;;;;;
2000/2001;1 198 717 ;1 687 921 ;30 078 ;12 546 ;1 272 672 ;918 168 ;2 863 385 ;1 125 536 ;39,3 
Rouge;569 445 ;1 436 910 ;7 205 ;6 910 ;576 308 ;783 486 ;2 015 132 ;547 344 ;27,2 
Blanc;629 272 ;251 011 ;22 873 ;5 636 ;696 364 ;134 682 ;848 253 ;578 192 ;68,2 
;;;;;;;;;
2001/2002;1 102 808 ;1 673 345 ;29 673 ;13 480 ;1 223 780 ;946 922 ;2 812 484 ;1 138 220 ;40,5 
Rouge;535 610 ;1 382 210 ;7 084 ;7 712 ;549 719 ;766 795 ;1 960 472 ;554 487 ;28,3 
Blanc;567 198 ;291 135 ;22 589 ;5 768 ;674 061 ;180 127 ;852 012 ;583 733 ;68,5 
;;;;;;;;;
2002/2003;1 012 006 ;1 666 762 ;28 418 ;11 674 ;1 151 128 ;933 778 ;2 781 308 ;1 072 984 ;38,6 
Rouge;513 434 ;1 430 394 ;4 367 ;6 623 ;519 074 ;779 993 ;1 959 019 ;537 456 ;27,4 
Blanc;498 572 ;236 368 ;24 051 ;5 051 ;632 054 ;153 785 ;822 289 ;535 528 ;65,1 
;;;;;;;;;
"2004 5; 6";1 088 975 ;1 627 833 ;27 648 ;18 453 ;1 741 381 ;764 254 ;2 626 392 ;962 539 ;36,6 
